Location,PVOUT_01,PVOUT_02,PVOUT_03,PVOUT_04,PVOUT_05,PVOUT_06,PVOUT_07,PVOUT_08,PVOUT_09,PVOUT_10,PVOUT_11,PVOUT_12
Adelaide,5.631999969482422,5.389999866485596,4.874000072479248,4.178999900817871,3.135999917984009,2.9189999103546143,2.9170000553131104,3.561000108718872,4.367000102996826,5.046999931335449,5.195000171661377,5.224999904632568
Albany,4.813000202178955,4.433000087738037,3.9609999656677246,3.38100004196167,3.003000020980835,2.7920000553131104,2.76200008392334,3.2300000190734863,3.7890000343322754,4.210999965667725,4.5329999923706055,4.763999938964844
Albury,5.369999885559082,5.188000202178955,5.004000186920166,4.4770002365112305,3.552000045776367,3.0450000762939453,2.9860000610351562,3.694999933242798,4.666999816894531,5.127999782562256,5.041999816894531,5.185999870300293
AliceSprings,4.913000106811523,5.3429999351501465,5.377999782562256,5.491000175476074,5.089000225067139,4.960999965667725,5.190999984741211,5.73199987411499,5.646999835968018,5.545000076293945,4.964000225067139,4.752999782562256
BadgerysCreek,4.24399995803833,3.9159998893737793,4.035999774932861,4.001999855041504,4.122000217437744,3.378000020980835,4.1020002365112305,4.538000106811523,4.9039998054504395,4.526000022888184,4.195000171661377,4.176000118255615
Ballarat,5.320000171661377,5.000999927520752,4.53000020980835,3.5950000286102295,2.7290000915527344,2.380000114440918,2.4769999980926514,3.0859999656677246,3.7839999198913574,4.446000099182129,4.598999977111816,4.947000026702881
Bendigo,5.539999961853027,5.369999885559082,5.001999855041504,4.313000202178955,3.319000005722046,2.9010000228881836,2.805999994277954,3.558000087738037,4.366000175476074,5.050000190734863,4.97599983215332,5.304999828338623
Brisbane,4.15500020980835,4.2270002365112305,4.083000183105469,4.295000076293945,4.224999904632568,3.7339999675750732,4.281000137329102,4.802999973297119,4.824999809265137,4.734000205993652,4.570000171661377,4.186999797821045
Cairns,4.201000213623047,4.142000198364258,4.189000129699707,4.228000164031982,3.9649999141693115,3.8580000400543213,4.056000232696533,4.691999912261963,5.074999809265137,5.007999897003174,4.75,4.611999988555908
Canberra,5.046000003814697,4.684000015258789,4.728000164031982,4.320000171661377,4.186999797821045,3.378000020980835,3.8429999351501465,4.368000030517578,5.0329999923706055,5.059999942779541,4.828000068664551,4.923999786376953
Cobar,5.146999835968018,5.123000144958496,5.184999942779541,5.039999961853027,4.406000137329102,3.8010001182556152,4.298999786376953,4.828999996185303,5.376999855041504,5.460999965667725,5.0229997634887695,5.127999782562256
CoffsHarbour,4.379000186920166,4.448999881744385,4.289000034332275,4.298999786376953,4.2270002365112305,3.6989998817443848,4.251999855041504,4.816999912261963,4.896999835968018,4.699999809265137,4.432000160217285,4.28000020980835
Dartmoor,5.073999881744385,4.675000190734863,4.14300012588501,3.25600004196167,2.515000104904175,2.3499999046325684,2.490000009536743,2.9539999961853027,3.5880000591278076,4.1529998779296875,4.333000183105469,4.769999980926514
Darwin,3.5739998817443848,3.888000011444092,4.295000076293945,4.908999919891357,4.934000015258789,5.079999923706055,5.206999778747559,5.468999862670898,5.315000057220459,5.0229997634887695,4.363999843597412,3.763000011444092
GoldCoast,4.585999965667725,4.6479997634887695,4.46999979019165,4.5329999923706055,4.318999767303467,3.7990000247955322,4.3520002365112305,4.9079999923706055,5.00600004196167,4.952000141143799,4.840000152587891,4.49399995803833
Hobart,4.723999977111816,4.434000015258789,3.944999933242798,3.2170000076293945,2.5739998817443848,2.440999984741211,2.684999942779541,3.065999984741211,3.631999969482422,4.23799991607666,4.177000045776367,4.514999866485596
Katherine,4.068999767303467,4.348999977111816,4.76800012588501,5.258999824523926,5.195000171661377,5.269999980926514,5.427999973297119,5.697000026702881,5.485000133514404,5.188000202178955,4.633999824523926,4.250999927520752
Launceston,5.260000228881836,4.8979997634887695,4.46999979019165,3.683000087738037,2.993000030517578,2.734999895095825,2.9070000648498535,3.322000026702881,3.8519999980926514,4.676000118255615,4.830999851226807,5.063000202178955
Melbourne,5.0289998054504395,4.795000076293945,4.343999862670898,3.5399999618530273,2.694999933242798,2.4739999771118164,2.6640000343322754,3.0929999351501465,3.742000102996826,4.328000068664551,4.439000129699707,4.811999797821045
MelbourneAirport,4.951000213623047,4.691999912261963,4.323999881744385,3.5399999618530273,2.816999912261963,2.5480000972747803,2.806999921798706,3.2360000610351562,3.869999885559082,4.309999942779541,4.418000221252441,4.76200008392334
Mildura,5.442999839782715,5.458000183105469,5.297999858856201,4.698999881744385,3.888000011444092,3.5139999389648438,3.5369999408721924,4.248000144958496,4.974999904632568,5.3470001220703125,5.189000129699707,5.364999771118164
Moree,4.946000099182129,5.065999984741211,5.046999931335449,5.026000022888184,4.546999931335449,3.996999979019165,4.454999923706055,5.0320000648498535,5.302999973297119,5.265999794006348,4.848999977111816,4.827000141143799
MountGambier,5.211999893188477,4.795000076293945,4.260000228881836,3.4019999504089355,2.6089999675750732,2.4230000972747803,2.572999954223633,3.0940001010894775,3.628999948501587,4.230000019073486,4.442999839782715,4.9070000648498535
MountGinini,5.291999816894531,4.7779998779296875,4.754000186920166,4.208000183105469,3.871999979019165,3.2760000228881836,3.4489998817443848,3.9719998836517334,4.835999965667725,5.132999897003174,4.7829999923706055,5.041999816894531
Newcastle,4.736000061035156,4.584000110626221,4.573999881744385,4.081999778747559,3.8970000743865967,3.125999927520752,3.8410000801086426,4.5,4.86299991607666,4.770999908447266,4.546000003814697,4.638999938964844
Nhil,5.5370001792907715,5.396999835968018,4.935999870300293,4.244999885559082,3.312999963760376,3.065999984741211,3.0309998989105225,3.6730000972747803,4.380000114440918,4.886000156402588,4.947999954223633,5.184999942779541
NorahHead,4.635000228881836,4.48799991607666,4.508999824523926,4.043000221252441,3.868000030517578,3.1089999675750732,3.865000009536743,4.468999862670898,4.814000129699707,4.73199987411499,4.5289998054504395,4.572000026702881
NorfolkIsland,,,,,,,,,,,,
Nuriootpa,5.506999969482422,5.296000003814697,4.8979997634887695,4.270999908447266,3.319999933242798,3.0169999599456787,3.0959999561309814,3.7269999980926514,4.436999797821045,4.985000133514404,5.11899995803833,5.138999938964844
PearceRAAF,5.604000091552734,5.570000171661377,5.355000019073486,4.521999835968018,4.0269999504089355,3.555999994277954,3.4179999828338623,4.002999782562256,4.507999897003174,5.11299991607666,5.559000015258789,5.638000011444092
Penrith,4.211999893188477,3.8959999084472656,4.019999980926514,3.9749999046325684,4.099999904632568,3.3550000190734863,4.052999973297119,4.543000221252441,4.86299991607666,4.499000072479248,4.164000034332275,4.1479997634887695
Perth,5.683000087738037,5.622000217437744,5.423999786376953,4.508999824523926,3.9649999141693115,3.492000102996826,3.3519999980926514,3.9769999980926514,4.5970001220703125,5.144000053405762,5.675000190734863,5.767000198364258
PerthAirport,5.6539998054504395,5.63100004196167,5.4019999504089355,4.504000186920166,3.9690001010894775,3.5220000743865967,3.3499999046325684,3.937000036239624,4.507999897003174,5.10099983215332,5.604000091552734,5.718999862670898
Portland,4.985000133514404,4.51800012588501,4.10099983215332,3.2909998893737793,2.486999988555908,2.259999990463257,2.4059998989105225,3.000999927520752,3.6530001163482666,4.264999866485596,4.383999824523926,4.827000141143799
Richmond,4.234000205993652,3.9519999027252197,4.072000026702881,4.019000053405762,4.109000205993652,3.3420000076293945,4.008999824523926,4.572999954223633,4.894000053405762,4.500999927520752,4.185999870300293,4.184000015258789
Sale,4.775000095367432,4.474999904632568,4.249000072479248,3.7290000915527344,3.186000108718872,2.9000000953674316,3.249000072479248,3.6410000324249268,4.198999881744385,4.486999988555908,4.395999908447266,4.673999786376953
SalmonGums,5.218999862670898,4.9720001220703125,4.732999801635742,4.3379998207092285,3.8259999752044678,3.5439999103546143,3.6989998817443848,4.229000091552734,4.802000045776367,4.989999771118164,5.047999858856201,5.2170000076293945
Sydney,4.447999954223633,4.160999774932861,4.188000202178955,3.88700008392334,3.9119999408721924,3.055999994277954,3.8259999752044678,4.322000026702881,4.76200008392334,4.589000225067139,4.3480000495910645,4.388000011444092
SydneyAirport,4.458000183105469,4.191999912261963,4.230000019073486,3.9779999256134033,3.9860000610351562,3.1480000019073486,3.884999990463257,4.38700008392334,4.806000232696533,4.605999946594238,4.36299991607666,4.376999855041504
Townsville,4.418000221252441,4.51200008392334,4.504000186920166,4.808000087738037,4.4079999923706055,4.214000225067139,4.580999851226807,5.145999908447266,5.484000205993652,5.448999881744385,5.0980000495910645,4.946000099182129
Tuggeranong,5.046999931335449,4.660999774932861,4.744999885559082,4.4070000648498535,4.241000175476074,3.490999937057495,3.947999954223633,4.486000061035156,5.11299991607666,5.054999828338623,4.781000137329102,4.960999965667725
Uluru,5.074999809265137,5.400000095367432,5.357999801635742,5.289999961853027,4.861000061035156,4.543000221252441,4.984000205993652,5.610000133514404,5.769999980926514,5.5980000495910645,5.119999885559082,5.035999774932861
WaggaWagga,5.329999923706055,5.142000198364258,5.103000164031982,4.554999828338623,3.825000047683716,3.188999891281128,3.2230000495910645,3.934999942779541,4.815000057220459,5.195000171661377,4.956999778747559,5.223999977111816
Walpole,4.9019999504089355,4.578000068664551,3.999000072479248,3.361999988555908,2.9040000438690186,2.572999954223633,2.5880000591278076,3.0820000171661377,3.572000026702881,4.105000019073486,4.429999828338623,4.697000026702881
Watsonia,4.9679999351501465,4.691999912261963,4.2769999504089355,3.486999988555908,2.63100004196167,2.4140000343322754,2.635999917984009,3.059999942779541,3.6449999809265137,4.236999988555908,4.324999809265137,4.749000072479248
Williamtown,4.609000205993652,4.447000026702881,4.459000110626221,3.994999885559082,3.9609999656677246,3.180999994277954,3.9110000133514404,4.5329999923706055,4.864999771118164,4.698999881744385,4.454999923706055,4.520999908447266
Witchcliffe,5.6020002365112305,5.3520002365112305,4.801000118255615,3.8489999771118164,3.171999931335449,2.7639999389648438,2.7720000743865967,3.368000030517578,3.821000099182129,4.593999862670898,5.0289998054504395,5.3480000495910645
Wollongong,4.373000144958496,3.993000030517578,4.044000148773193,3.88700008392334,3.9820001125335693,3.174999952316284,3.930999994277954,4.35699987411499,4.784999847412109,4.560999870300293,4.245999813079834,4.206999778747559
Woomera,5.421000003814697,5.48199987411499,5.360000133514404,5.014999866485596,4.40500020980835,4.124000072479248,4.379000186920166,4.958000183105469,5.613999843597412,5.497000217437744,5.289000034332275,5.27400016784668
